,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC101928627,0.35058018647634437,-0.2937490282612339,0.2512925693759375,-1.1689523052382056,0.24242284803186642,0.3966797038323998
LOC105373155,0.4755069447934629,-0.10400186945625194,0.23666481679278317,-0.43944795371638595,0.6603369862962924,0.7826687990636709
LOC105373154,1.7479941257777405,-0.37107029562161237,0.1717614533063892,-2.160381671664682,0.03074313512405719,0.08121784344545765
FAM47C,0.18230423184778866,-0.021056687310596064,0.43730062215980897,-0.048151514641342125,0.9615954910414399,
FTHL18P,0.00964962175282322,-0.2088170868390746,2.9060878979954663,-0.07185504849426973,0.9427172636343084,
PRRG1,586.5832142979241,-0.045447046942068955,0.0330050596562135,-1.3769721192887812,0.16852086795494192,0.30254754059393163
LANCL3,14.527923629620771,-0.05453924723939506,0.06503993772855175,-0.8385501146544453,0.40172181423986386,0.5649278867998048
XK,13.080892121116547,-0.02005627915796986,0.1273745017850763,-0.15745913724405816,0.8748830098685092,0.9302975313145196
CYBB,1658.2050260624685,0.2603245526557504,0.07671008425371517,3.393615783222693,0.0006897639319654605,0.0033877013367417555
DYNLT3,1120.1636136456877,-0.1495061173299386,0.034269658858393254,-4.362638039313948,1.2850345366018825e-05,0.00010524761756108772
SYTL5,0.9735635718960639,0.15136884813705684,0.20363135429917106,0.7433474508776717,0.4572713503004281,0.616609547176652
H2AP,0.0,,,,,
MIR548AJ2,0.004086649252222719,-0.2087375501420297,2.9063054853933825,-0.0718223019538416,0.9427433242597222,
SRPX,2790.8929122686886,0.5117716040280874,0.046793001300946324,10.936926245372884,7.675830301365954e-28,2.5149431547408803e-25
RPGR,516.1350043750327,-0.04971426320631123,0.039401671226693843,-1.2617298114154816,0.20704602590626342,0.3525495931096681
OTC,0.6684272575103057,-0.25830231846955304,0.21127966047396254,-1.2225612152637164,0.2214954696277176,0.37091508100169823
TSPAN7,1237.278179392447,-0.21960887544147845,0.035710434899983316,-6.149711591487256,7.762396729488139e-10,1.700576186917877e-08
LOC105373174,5.628376597626398,-0.2521234880385003,0.08264373248029457,-3.0507272659619558,0.0022828783832790707,0.009392705143872365
MID1IP1-AS1,25.559853606027325,0.15789546546506614,0.05779608005469244,2.731940735697813,0.006296246549311327,0.022058182041831104
MID1IP1,397.09559004216476,0.0832524065312435,0.038831962855105956,2.1439144562916876,0.03203974165791938,0.08395129749499972
LOC105373175,0.5688877729552713,0.3571257902127674,0.3173911338546478,1.1251914502952576,0.2605079153174076,0.4178556030722212
LINC01281,0.31426423778955354,-0.16484517261219467,0.36924045003162265,-0.44644397058360463,0.655276576772525,0.7787995524512603
LINC01282,0.35017042637226914,-0.1640985469210359,0.30882552018612835,-0.5313632980270999,0.5951670496434608,0.7327885578240657
LOC105373176,2.0716331656006073,-0.27874281549563956,0.16262450755812644,-1.7140271148615733,0.08652374616863213,0.18203173487861668
LINC01283,1.5095698460950313,-0.29149051369161844,0.16262040584918705,-1.7924596373344721,0.07305936913430347,0.1600575540142898
MIR3937,0.0,,,,,
LOC105373178,0.498878602717804,-0.48094159669905256,0.2435482655756827,-1.9747280710960342,0.04829901555501093,0.11583907040961058
LOC105373177,0.19391462863972572,0.06419058394494741,0.4762480212871161,0.13478393835939695,0.89278270528002,
MIR1587,0.011706793910295896,-0.1785240566186724,2.8715553276003347,-0.06216981261087494,0.9504276020183946,
LOC105373180,0.08064727442074063,-0.13386595706568158,0.7914517057546482,-0.16913976695272967,0.8656867060183002,
BCOR,311.9242397010343,0.0595351109304907,0.037795595010249504,1.575186497642009,0.11521340291856177,0.22688745994808
LOC107985687,1.7468469216106846,-0.08273920957162371,0.14587766042873307,-0.5671821807976214,0.5705904132150987,0.7125571018655155
LOC105373181,1.8652150112618342,0.4045012749153554,0.13417165811806964,3.014804173914275,0.0025714522260168733,0.01038014828758187
LOC101927476,0.337759672018993,-0.2264054240070531,0.2893014998998552,-0.7825933294000402,0.4338659599258369,0.5949239444916566
LOC105373182,0.07024578193343538,-0.23985277875480096,0.9633903209778243,-0.2489673951793024,0.8033860022973401,
ATP6AP2,4009.0156854457596,-0.05576956819260094,0.03040816050684156,-1.8340329458617957,0.06664910378985969,0.1487213266839919
MPC1L,0.09741903343405016,0.046555794590863724,0.7013563813873306,0.06637965494628166,0.9470755674738212,
CXorf38,672.2277693820223,0.16816825412445408,0.022452073427223013,7.490099062323171,6.882164959630483e-14,3.1078297140824457e-12
MED14,926.5451067408909,-0.014868624687035545,0.017592399093307606,-0.8451732255603375,0.39801412897481747,0.5613303012111256
MED14OS,19.492756852618335,-0.014087529491107977,0.05828289117099835,-0.24170951728829043,0.8090052544725531,0.8864097998694551
TNIP2P1,0.03425012275910866,-0.08803419284607489,1.335933493232702,-0.06589713731411065,0.9474597197234611,
USP9X,4018.983946832476,-0.12948453706477342,0.027630401976536163,-4.6863066695422,2.7817934468090375e-06,2.705459273070742e-05
LINC02601,1.3677887570455602,0.08855927188040195,0.1315360894350714,0.6732697639161337,0.5007756850246665,0.6552019752901047
LOC105373184,9.81878483772289,-0.017134476954807455,0.07277596993971473,-0.23544140969884841,0.8138661489353307,0.8892905843482058
DDX3X,8693.301096281437,0.05763139728338959,0.028590698440150053,2.0157393987429684,0.043827233456714666,0.10730599607107048
LOC107985678,26.317309099985575,0.0678808503406767,0.06963083436668437,0.9748676855314984,0.32962589712560286,0.49262624572701724
NYX,0.06428132920405152,-0.08833785376402767,0.9675470640839717,-0.09130083387484804,0.9272535554214184,
CASK,763.8175942089591,-0.10608793445062145,0.022594547624805734,-4.695289156139216,2.6622985060366242e-06,2.5995317333115224e-05
GPR34,787.8592861510567,-0.08577802852918097,0.05989111388461131,-1.4322329802455245,0.1520771560893411,0.27945729287483584
GPR82,11.792260229408328,0.09049628050991504,0.09024184343983296,1.0028195021331952,0.3159479574810654,0.478379041530234
