,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DTX3,920.2052088157575,0.20344540849852585,0.12488256251756588,1.629093801385677,0.10329316324515359,0.24927481296518608
ARHGEF25,954.9471535001459,0.047078382391787424,0.09131350430791657,0.5155686746292781,0.6061556936059836,0.7583710139187996
LOC101927583,21.943938925592203,0.09063298476794578,0.15656778681782835,0.5788737684169999,0.5626743511476586,0.7276110773029587
SLC26A10P,119.0560010665224,0.06574273407051048,0.13227681196671764,0.49700875832305436,0.619182875106876,0.7682727501592126
B4GALNT1,168.90249738417808,0.0542695501243991,0.10907734897146872,0.49753272000215515,0.6188134351995003,0.7679921794333424
OS9,6096.029808934436,-0.051323246393925805,0.041772324521616215,-1.2286423363240706,0.21920593488341378,0.40420470667255326
AGAP2,184.04286947912863,-0.3003286592793712,0.09366970714602774,-3.206251716055539,0.0013447629783685253,0.016788516309387956
AGAP2-AS1,52.2653208067328,-0.10852879568931491,0.09505975188511694,-1.1416902899186587,0.25358277838317467,0.4437356127407362
TSPAN31,1384.8936250960558,0.06120069958345022,0.03518433262639024,1.7394304514261625,0.08195907577700336,0.2150678745139459
CDK4,1166.7272963284743,0.14283934558785383,0.05747117531372597,2.485408464471392,0.012940286130223445,0.06547861152267725
MIR6759,5.274904580873958,0.11302793012360726,0.11321240118078797,0.9983705755265616,0.3180996963415126,0.5115249474873915
MARCHF9,246.71416447783815,0.012063578826734195,0.06592048172526427,0.18300198225206207,0.8547964632720947,0.9184052668747175
CYP27B1,44.18245435966273,0.4027055405055351,0.16547253377870727,2.433669995312265,0.014946615086141802,0.0714862635563773
METTL1,293.69201208753145,0.21713292419093494,0.08418406622594636,2.579263914481865,0.009901111090552228,0.055345597200515434
EEF1AKMT3,538.456857982704,0.22345474598248433,0.07870976094227145,2.8389712191652317,0.004525923890124823,0.03398640064941492
TSFM,533.3092515411175,0.10862485979892329,0.05471630353490514,1.9852375394772108,0.047118049571689954,0.1505136246501606
AVIL,362.9610625270908,0.03838853761054872,0.10995887054236315,0.3491172419396488,0.7270012927985232,0.8411247656505818
CTDSP2,6749.041772830645,-0.06944557859205928,0.03982060250207778,-1.7439610208920298,0.08116588696765217,0.21373683568148405
MIR26A2,5.212940083941654,0.044257233730224645,0.1597268781661062,0.2770806907288316,0.7817181481503155,0.8748917898967981
LOC105369783,15.68003329407269,-0.042771640972713396,0.13868416797644992,-0.3084104090380128,0.7577700624839535,0.8590687661781439
LOC283387,4.251721635202331,-0.34960633664131574,0.15927621287635008,-2.1949689180061274,0.028165827423390178,0.10766659479798125
LOC101927608,2.439841818817935,-0.24485445411602585,0.16845798186996347,-1.453504615204488,0.1460836992163773,0.31065698248151546
GIHCG,109.43704920963279,0.053754791160537906,0.099472293593076,0.5403996351028105,0.588921459419624,0.7460627292834497
ATP23,275.8229080645026,-0.08983120021491044,0.09903169977216664,-0.9070954090617149,0.36435634563099395,0.5576098189567988
